,Movie Title,Year,Content Rating,Budget_ADJ,Gross_Income_ADJ,Director,IMDB Score
899,Payback ,1999,R,"$73,565,426.17","$119,937,305.75",Brian Helgeland,7.1
900,Congo ,1995,PG-13,"$80,419,947.51","$130,316,235.33",Frank Marshall,5.0
901,Knowing ,2009,PG-13,"$57,127,674.95","$91,344,996.24",Alex Proyas,6.2
902,Failure to Launch ,2006,PG-13,"$60,793,650.79","$107,797,078.97",Tom Dey,5.6
903,"Crazy, Stupid, Love. ",2011,PG-13,"$54,485,882.84","$91,803,129.96",Glenn Ficarra,7.4
904,Garfield ,2004,PG,"$45,416,622.55","$97,798,459.02",Peter Hewitt,5.0
905,Christmas with the Kranks ,2004,PG,"$77,857,067.23","$95,636,898.98",Joe Roth,5.2
906,Moneyball ,2011,PG-13,"$54,485,882.84","$82,388,639.58",Bennett Miller,7.6
907,Outbreak ,1995,R,"$80,419,947.51","$109,087,363.61",Wolfgang Petersen,6.6
908,Non-Stop ,2014,PG-13,"$51,770,748.85","$94,677,724.25",Jaume Collet-Serra,7.0
909,Race to Witch Mountain ,2009,PG,"$74,265,977.43","$76,697,562.07",Andy Fickman,5.7
910,V for Vendetta ,2005,R,"$67,775,115.21","$88,480,164.39",James McTeigue,8.2
911,Shanghai Knights ,2003,PG-13,"$66,608,695.65","$80,556,849.60",David Dobkin,6.2
912,Curious George ,2006,G,"$60,793,650.79","$70,929,855.22",Matthew O'Callaghan,6.6
913,Herbie Fully Loaded ,2005,G,"$62,754,736.30","$82,838,767.13",Angela Robinson,4.7
914,Don't Say a Word ,2001,R,"$69,203,839.64","$76,120,730.19",Gary Fleder,6.3
915,Hansel & Gretel: Witch Hunters ,2013,R,"$52,610,567.62","$58,589,306.17",Tommy Wirkola,6.1
916,Unfaithful ,2002,R,"$68,126,737.08","$71,877,079.89",Adrian Lyne,6.7
917,I Am Number Four ,2011,PG-13,"$65,383,059.41","$60,035,629.61",D.J. Caruso,6.1
918,Syriana ,2005,R,"$62,754,736.30","$63,777,999.97",Stephen Gaghan,7.0
919,13 Hours ,2016,R,"$51,065,177.27","$53,947,722.78",Michael Bay,7.4
920,The Book of Life ,2014,PG,"$51,770,748.85","$51,926,702.02",Jorge R. Gutiérrez,7.3
921,Firewall ,2006,PG-13,"$60,793,650.79","$59,267,912.54",Richard Loncraine,5.8
922,Absolute Power ,1997,R,"$76,361,370.72","$76,372,317.88",Clint Eastwood,6.7
923,G.I. Jane ,1997,R,"$76,361,370.72","$73,543,226.84",Ridley Scott,5.8
924,The Game ,1997,R,"$76,361,370.72","$73,712,518.47",David Fincher,7.8
925,Silent Hill ,2006,R,"$60,793,650.79","$57,124,914.46",Christophe Gans,6.6
926,The Replacements ,2000,PG-13,"$71,173,054.59","$63,681,462.85",Howard Deutch,6.5
927,American Reunion ,2012,R,"$53,381,185.92","$60,559,973.21",Jon Hurwitz,6.7
928,The Negotiator ,1998,R,"$75,190,184.05","$66,895,300.69",F. Gary Gray,7.3
929,Into the Storm ,2014,PG-13,"$51,770,748.85","$49,237,618.53",Steven Quale,5.8
930,Beverly Hills Cop III ,1994,R,"$90,968,960.86","$70,476,134.95",John Landis,5.5
931,Gremlins 2: The New Batch ,1990,PG-13,"$93,771,996.94","$77,797,387.76",Joe Dante,6.3
932,The Judge ,2014,R,"$51,770,748.85","$48,773,310.50",David Dobkin,7.4
933,The Peacemaker ,1997,R,"$76,361,370.72","$63,007,717.25",Mimi Leder,5.9
934,Resident Evil: Apocalypse ,2004,R,"$58,392,800.42","$65,841,227.74",Alexander Witt,6.2
935,Bridget Jones: The Edge of Reason ,2004,R,"$51,904,711.49","$52,168,153.85",Beeban Kidron,5.9
936,Out of Time ,2003,R,"$66,608,695.65","$54,492,942.93",Carl Franklin,6.5
937,On Deadly Ground ,1994,R,"$82,699,055.33","$63,827,957.89",Steven Seagal,4.4
938,The Adventures of Sharkboy and Lavagirl 3-D ,2005,PG,"$62,754,736.30","$49,171,525.09",Robert Rodriguez,3.5
939,The Beach ,2000,R,"$71,173,054.59","$56,623,287.96",Danny Boyle,6.6
940,Raising Helen ,2004,PG-13,"$64,880,889.36","$48,642,679.44",Garry Marshall,6.0
941,Ninja Assassin ,2009,R,"$45,702,139.96","$43,537,089.05",James McTeigue,6.4
942,For Love of the Game ,1999,PG-13,"$73,565,426.17","$51,743,559.32",Sam Raimi,6.5
943,Striptease ,1996,R,"$62,490,758.44","$51,242,421.92",Andrew Bergman,4.3
944,Marmaduke ,2010,PG,"$56,205,745.31","$37,819,116.01",Tom Dey,4.2
945,Hereafter ,2010,PG-13,"$56,205,745.31","$36,805,316.12",Clint Eastwood,6.5
946,Murder by Numbers ,2002,R,"$68,126,737.08","$43,430,616.39",Barbet Schroeder,6.1
947,Assassins ,1995,R,"$80,419,947.51","$48,744,569.63",Richard Donner,6.3
948,Hannibal Rising ,2007,R,"$59,110,069.35","$32,709,085.32",Peter Webber,6.2
949,The Story of Us ,1999,R,"$73,565,426.17","$39,824,143.21",Rob Reiner,5.9
950,The Host ,2013,PG-13,"$42,088,454.09","$28,006,708.51",Andrew Niccol,5.9
951,Basic ,2003,R,"$66,608,695.65","$35,350,726.82",John McTiernan,6.5
952,Blood Work ,2002,R,"$68,126,737.08","$35,697,752.12",Clint Eastwood,6.4
953,The International ,2009,R,"$57,127,674.95","$29,078,588.67",Tom Tykwer,6.5
954,Escape from L.A. ,1996,R,"$78,113,448.06","$39,692,958.06",John Carpenter,5.7
955,The Iron Giant ,1999,PG,"$102,991,596.64","$34,074,482.84",Brad Bird,8.0
956,The Life Aquatic with Steve Zissou ,2004,R,"$64,880,889.36","$31,151,554.67",Wes Anderson,7.3
957,Free State of Jones ,2016,R,"$51,065,177.27","$20,824,345.59",Gary Ross,6.7
958,The Life of David Gale ,2003,R,"$66,608,695.65","$26,102,269.29",Alan Parker,7.5
959,Man of the House ,2005,PG-13,"$50,203,789.04","$23,995,210.98",Stephen Herek,5.4
960,Run All Night ,2015,R,"$51,709,371.06","$27,346,243.37",Jaume Collet-Serra,6.6
961,Eastern Promises ,2007,R,"$29,555,034.68","$20,233,237.24",David Cronenberg,7.7
962,Into the Blue ,2005,PG-13,"$62,754,736.30","$23,184,565.38",John Stockwell,5.8
963,The Messenger: The Story of Joan of Arc ,1999,R,"$573,810,324.13","$20,791,499.19",Luc Besson,6.4
964,Your Highness ,2011,R,"$54,376,911.07","$23,491,305.06",David Gordon Green,5.6
965,Dream House ,2011,PG-13,"$59,934,471.12","$23,192,940.37",Jim Sheridan,6.0
966,Mad City ,1997,PG-13,"$76,361,370.72","$16,121,711.92",Costa-Gavras,6.2
967,Baby's Day Out ,1994,PG,"$82,699,055.33","$27,574,354.29",Patrick Read Johnson,5.9
968,The Scarlet Letter ,1995,R,"$80,419,947.51","$16,727,349.08",Roland Joffé,5.1
969,Fair Game ,2010,PG-13,"$24,730,527.94","$10,710,670.25",Doug Liman,6.8
970,Domino ,2005,R,"$62,754,736.30","$12,723,186.42",Tony Scott,6.0
971,Jade ,1995,R,"$80,419,947.51","$15,754,295.06",William Friedkin,5.1
972,Gamer ,2009,R,"$57,127,674.95","$23,409,297.62",Mark Neveldine,5.8
973,Beautiful Creatures ,2013,PG-13,"$63,132,681.14","$20,460,478.08",Richard LaGravenese,6.2
974,Death to Smoochy ,2002,R,"$74,939,410.78","$11,385,088.23",Danny DeVito,6.4
975,Zoolander 2 ,2016,PG-13,"$51,065,177.27","$29,451,447.79",Ben Stiller,4.8
976,The Big Bounce ,2004,PG-13,"$64,880,889.36","$8,397,395.96",George Armitage,4.9
977,What Planet Are You From? ,2000,R,"$71,173,054.59","$8,955,850.65",Mike Nichols,5.6
978,Drive Angry ,2011,R,"$54,485,882.84","$11,667,373.75",Patrick Lussier,5.5
979,Street Fighter: The Legend of Chun-Li ,2009,PG-13,"$20,565,962.98","$9,988,500.89",Andrzej Bartkowiak,3.7
980,The One ,2001,PG-13,"$67,819,762.85","$60,768,924.11",James Wong,5.9
981,The Adventures of Ford Fairlane ,1990,R,"$75,017,597.55","$40,159,736.88",Renny Harlin,6.3
982,Traffic ,2000,R,"$68,326,132.40","$176,662,163.28",Steven Soderbergh,7.6
983,Indiana Jones and the Last Crusade ,1989,PG-13,"$94,885,161.29","$389,764,137.80",Steven Spielberg,8.3
984,Chappie ,2015,R,"$50,675,183.64","$32,648,539.86",Neill Blomkamp,6.9
985,The Bone Collector ,1999,R,"$70,622,809.12","$97,824,493.52",Phillip Noyce,6.7
986,Panic Room ,2002,R,"$65,401,667.59","$129,860,961.20",David Fincher,6.8
987,Three Kings ,1999,R,"$70,622,809.12","$89,237,857.53",David O. Russell,7.1
988,Child 44 ,2015,R,"$51,709,371.06","$1,247,369.65",Daniel Espinosa,6.4
989,Rat Race ,2001,PG-13,"$66,435,686.05","$78,348,743.66",Jerry Zucker,6.4
990,K-PAX ,2001,PG-13,"$66,435,686.05","$69,443,547.90",Iain Softley,7.4
991,Kate & Leopold ,2001,PG-13,"$66,435,686.05","$65,183,723.54",James Mangold,6.4
992,Bedazzled ,2000,PG-13,"$68,326,132.40","$53,920,700.46",Harold Ramis,6.0
993,The Cotton Club ,1984,R,"$136,833,108.76","$61,103,060.64",Francis Ford Coppola,6.5
994,3:10 to Yuma ,2007,R,"$65,021,076.29","$63,335,361.15",James Mangold,7.8
995,Taken 3 ,2014,PG-13,"$49,699,918.90","$92,414,244.99",Olivier Megaton,6.0
996,Out of Sight ,1998,R,"$72,182,576.69","$56,151,315.14",Steven Soderbergh,7.0
997,The Cable Guy ,1996,PG-13,"$73,426,641.17","$93,977,400.43",Ben Stiller,6.0
998,Dick Tracy ,1990,PG,"$187,543,993.88","$194,555,749.94",Warren Beatty,6.1
999,The Thomas Crown Affair ,1999,R,"$70,622,809.12","$101,967,954.33",John McTiernan,6.8
1000,Riding in Cars with Boys ,2001,PG-13,"$66,435,686.05","$41,219,817.95",Penny Marshall,6.4
1001,Happily N'Ever After ,2006,PG,"$57,146,031.75","$18,870,155.88",Paul Bolger,4.5
1002,Mary Reilly ,1996,R,"$73,426,641.17","$8,748,706.18",Stephen Frears,5.8
1003,My Best Friend's Wedding ,1997,PG-13,"$70,252,461.06","$193,660,243.32",P.J. Hogan,6.3
1004,America's Sweethearts ,2001,PG-13,"$66,435,686.05","$129,560,207.82",Joe Roth,5.7
1005,Insomnia ,2002,R,"$62,676,598.11","$91,648,422.30",Christopher Nolan,7.2
1006,Star Trek: First Contact ,1996,PG-13,"$70,302,103.25","$143,730,348.87",Jonathan Frakes,7.6
1007,Jonah Hex ,2010,PG-13,"$52,833,400.59","$11,847,512.38",Jimmy Hayward,4.7
1008,Courage Under Fire ,1996,R,"$71,864,372.21","$92,046,545.35",Edward Zwick,6.6
1009,Liar Liar ,1997,PG-13,"$68,725,233.64","$277,031,997.17",Tom Shadyac,6.8
1010,The Flintstones ,1994,PG,"$74,429,149.80","$215,865,895.58",Brian Levant,4.8
1011,Taken 2 ,2012,PG-13,"$48,043,067.33","$149,310,348.93",Olivier Megaton,6.3
1012,Scary Movie 3 ,2003,PG-13,"$63,944,347.83","$146,539,239.67",David Zucker,5.5
1013,Miss Congeniality ,2000,PG-13,"$64,055,749.13","$152,036,558.28",Donald Petrie,6.2
1014,Journey to the Center of the Earth ,2008,PG,"$51,231,984.69","$115,786,630.69",Eric Brevig,5.8
1015,The Princess Diaries 2: Royal Engagement ,2004,G,"$51,904,711.49","$123,467,599.30",Garry Marshall,5.7
1016,The Pelican Brief ,1993,PG-13,"$76,334,948.10","$170,936,096.10",Alan J. Pakula,6.5
1017,The Client ,1994,PG-13,"$74,429,149.80","$152,356,818.63",Joel Schumacher,6.7
1018,The Bucket List ,2007,PG-13,"$53,199,062.42","$110,479,150.23",Rob Reiner,7.4
1019,Patriot Games ,1992,R,"$78,620,099.79","$145,512,462.00",Phillip Noyce,6.9
1020,Monster-in-Law ,2005,PG-13,"$75,305,683.56","$104,086,638.51",Robert Luketic,5.5
1021,Prisoners ,2013,R,"$48,401,722.21","$64,145,832.30",Denis Villeneuve,8.1
1022,Training Day ,2001,R,"$62,283,455.67","$105,551,130.12",Antoine Fuqua,7.7
1023,Galaxy Quest ,1999,PG,"$66,208,883.55","$105,086,336.84",Dean Parisot,7.3
1024,Scary Movie 2 ,2001,R,"$62,283,455.67","$98,653,422.87",Keenen Ivory Wayans,5.2
1025,The Muppets ,2011,PG,"$49,037,294.56","$96,577,232.05",James Bobin,7.1
1026,Blade ,1998,R,"$67,671,165.64","$105,267,859.22",Stephen Norrington,7.1
1027,Coach Carter ,2005,PG-13,"$37,652,841.78","$84,409,001.08",Thomas Carter,7.2
1028,Changing Lanes ,2002,R,"$61,314,063.37","$91,004,033.29",Roger Michell,6.5
1029,Anaconda ,1997,PG-13,"$68,725,233.64","$100,121,958.03",Luis Llosa,4.6
1030,Coyote Ugly ,2000,PG-13,"$64,055,749.13","$86,526,888.83",David McNally,5.6
1031,Love Actually ,2003,R,"$59,947,826.09","$79,084,644.23",Richard Curtis,7.7
1032,A Bug's Life ,1998,G,"$180,456,441.72","$244,808,226.91",John Lasseter,7.2
1033,From Hell ,2001,R,"$48,442,687.75","$43,734,484.79",Albert Hughes,6.8
1034,The Specialist ,1994,R,"$74,429,149.80","$94,876,625.20",Luis Llosa,5.4
1035,Tin Cup ,1996,R,"$70,302,103.25","$84,135,351.25",Ron Shelton,6.3
1036,Kicking & Screaming ,2005,PG,"$56,479,262.67","$65,994,004.01",Jesse Dylan,5.6
1037,The Hitchhiker's Guide to the Galaxy ,2005,PG,"$62,754,736.30","$64,033,818.40",Garth Jennings,6.8
1038,Fat Albert ,2004,PG,"$33,738,062.47","$62,434,303.69",Joel Zwick,4.3
1039,Resident Evil: Extinction ,2007,R,"$53,199,062.42","$59,876,938.57",Russell Mulcahy,6.3
1040,Blended ,2014,PG-13,"$41,416,599.08","$47,919,530.09",Frank Coraci,6.5
1041,Last Holiday ,2006,PG-13,"$54,714,285.71","$46,641,125.98",Wayne Wang,6.4
1042,The River Wild ,1994,PG-13,"$74,429,149.80","$77,432,362.68",Curtis Hanson,6.3
1043,The Indian in the Cupboard ,1995,PG,"$72,377,952.76","$57,287,308.84",Frank Oz,5.9
1044,Savages ,2012,R,"$48,043,067.33","$50,506,662.44",Oliver Stone,6.5
1045,Cellular ,2004,PG-13,"$32,440,444.68","$41,528,466.57",David R. Ellis,6.5
1046,Johnny English ,2003,PG,"$46,626,086.96","$37,264,114.89",Peter Howitt,6.1
1047,The Ant Bully ,2006,PG,"$60,793,650.79","$34,206,348.88",John A. Davis,5.9
1048,Dune ,1984,PG-13,"$94,367,661.21","$64,641,847.93",David Lynch,6.6
1049,Across the Universe ,2007,PG-13,"$53,199,062.42","$28,779,123.99",Julie Taymor,7.4
1050,Revolutionary Road ,2008,R,"$39,847,099.20","$26,046,122.43",Sam Mendes,7.3
1051,16 Blocks ,2006,PG-13,"$63,225,396.83","$44,845,699.80",Richard Donner,6.6
1052,Babylon A.D. ,2008,PG-13,"$79,694,198.41","$25,652,080.16",Mathieu Kassovitz,5.6
1053,The Glimmer Man ,1996,R,"$70,302,103.25","$31,871,713.16",John Gray,5.3
1054,Multiplicity ,1996,PG-13,"$70,302,103.25","$31,404,513.50",Harold Ramis,6.0
1055,Aliens in the Attic ,2009,PG,"$51,414,907.45","$28,792,818.91",John Schultz,5.4
1056,The Pledge ,2001,R,"$62,283,455.67","$27,293,897.47",Sean Penn,6.8
1057,The Producers ,2005,PG-13,"$56,479,262.67","$24,320,882.96",Susan Stroman,6.4
1058,Dredd ,2012,R,"$37,366,830.14","$14,307,954.64",Pete Travis,7.1
1059,The Phantom ,1996,PG,"$70,302,103.25","$27,028,641.88",Simon Wincer,4.9
1060,All the Pretty Horses ,2000,PG-13,"$81,137,282.23","$22,102,258.30",Billy Bob Thornton,5.8
1061,Nixon ,1995,R,"$80,419,947.51","$21,811,433.83",Oliver Stone,7.1
1062,The Ghost Writer ,2010,PG-13,"$50,585,170.78","$17,449,824.54",Roman Polanski,7.2
1063,Deep Rising ,1998,R,"$67,671,165.64","$16,762,010.88",Stephen Sommers,6.0
1064,Miracle at St. Anna ,2008,R,"$51,231,984.69","$9,013,285.19",Spike Lee,6.0
1065,Curse of the Golden Flower ,2006,R,"$54,714,285.71","$7,982,808.21",Yimou Zhang,7.0
1066,Bangkok Dangerous ,2008,R,"$45,539,541.95","$17,395,740.71",Danny Pang,5.4
1067,Big Trouble ,2002,PG-13,"$54,501,389.66","$9,895,119.70",Barry Sonnenfeld,6.5
1068,Love in the Time of Cholera ,2007,R,"$53,199,062.42","$5,420,258.59",Mike Newell,6.4
1069,Shadow Conspiracy ,1997,R,"$68,725,233.64","$3,290,472.55",George P. Cosmatos,4.9
1070,Johnny English Reborn ,2011,PG,"$49,037,294.56","$8,858,810.65",Oliver Parker,6.3
1071,Argo ,2012,R,"$47,509,255.47","$145,217,588.85",Ben Affleck,7.7
1072,The Fugitive ,1993,PG-13,"$74,638,615.92","$311,914,368.80",Andrew Davis,7.8
1073,The Bounty Hunter ,2010,PG-13,"$44,964,596.25","$75,384,526.03",Andy Tennant,5.5
1074,Sleepers ,1996,R,"$68,739,834.29","$83,270,266.68",Barry Levinson,7.5
1075,Rambo: First Blood Part II ,1985,R,"$100,234,944.24","$342,656,419.07",George P. Cosmatos,6.4
1076,The Juror ,1996,R,"$68,739,834.29","$70,043,878.94",Brian Gibson,5.6
1077,Pinocchio ,1940,Approved,"$45,522,285.71","$1,475,972,571.43",Norman Ferguson,7.5
1078,Heaven's Gate ,1980,R,"$130,889,320.39","$4,462,135.92",Michael Cimino,6.8
1079,Underworld: Evolution ,2006,R,"$60,793,650.79","$75,771,838.49",Len Wiseman,6.8
1080,Victor Frankenstein ,2015,PG-13,"$41,367,496.85","$5,970,900.73",Paul McGuigan,6.0
1081,Finding Forrester ,2000,PG-13,"$61,208,826.95","$73,690,620.61",Gus Van Sant,7.3
1082,28 Days ,2000,PG-13,"$61,208,826.95","$52,718,614.62",Betty Thomas,6.0
1083,Unleashed ,2005,R,"$56,479,262.67","$30,776,042.23",Louis Leterrier,7.0
1084,The Sweetest Thing ,2002,R,"$58,588,993.89","$33,287,094.34",Roger Kumble,5.1
1085,The Firm ,1993,R,"$71,245,951.56","$268,611,486.56",Sydney Pollack,6.8
1086,Charlie St. Cloud ,2010,PG-13,"$49,461,055.88","$35,001,509.63",Burr Steers,6.5
1087,The Mechanic ,2011,R,"$43,588,706.27","$31,725,590.90",Simon West,6.6
1088,21 Jump Street ,2012,R,"$44,840,196.17","$147,810,013.04",Phil Lord,7.2
1089,Notting Hill ,1999,PG-13,"$61,794,957.98","$170,680,734.27",Roger Michell,7.0
1090,Chicken Run ,2000,G,"$64,055,749.13","$152,016,982.84",Peter Lord,7.0
1091,Along Came Polly ,2004,PG-13,"$54,499,947.06","$114,004,241.47",John Hamburg,5.9
1092,Boomerang ,1992,R,"$69,884,533.14","$122,472,644.33",Reginald Hudlin,5.4
1093,The Heat ,2013,R,"$45,245,088.15","$167,910,153.56",Paul Feig,6.6
1094,Cleopatra ,1963,Approved,"$249,245,385.62","$462,603,921.57",Joseph L. Mankiewicz,7.0
1095,Here Comes the Boom ,2012,PG,"$44,840,196.17","$48,353,017.71",Frank Coraci,6.5
1096,High Crimes ,2002,PG-13,"$57,226,459.14","$56,604,062.81",Carl Franklin,6.3
1097,The Mirror Has Two Faces ,1996,PG-13,"$65,615,296.37","$64,447,387.84",Barbra Streisand,6.5
1098,The Mothman Prophecies ,2002,PG-13,"$43,601,111.73","$48,000,322.20",Mark Pellington,6.5
1099,Brüno ,2009,R,"$47,987,246.96","$68,544,937.85",Larry Charles,5.8
1100,Licence to Kill ,1989,PG-13,"$63,256,774.19","$68,528,860.62",John Glen,6.6
1101,Red Riding Hood ,2011,PG-13,"$45,768,141.59","$41,030,664.90",Catherine Hardwicke,5.4
1102,15 Minutes ,2001,R,"$58,131,225.30","$33,737,475.28",John Herzfeld,6.1
1103,Super Mario Bros. ,1993,PG,"$71,245,951.56","$35,479,576.34",Annabel Jankel,4.0
1104,Lord of War ,2005,R,"$62,754,736.30","$30,282,793.77",Andrew Niccol,7.6
1105,Hero ,2002,PG-13,"$42,238,576.99","$115,762.31",Yimou Zhang,7.9
1106,One for the Money ,2012,PG-13,"$42,704,948.74","$28,190,340.58",Julie Anne Robinson,5.3
1107,The Interview ,2014,R,"$45,558,258.99","$6,321,389.63",Evan Goldberg,6.6
1108,The Warrior's Way ,2010,R,"$50,585,170.78","$6,367,268.98",Sngmoo Lee,6.3
1109,Micmacs ,2009,R,"$30,848,944.47","$1,440,665.13",Jean-Pierre Jeunet,7.2
1110,8 Mile ,2002,R,"$55,863,924.40","$159,040,607.36",Curtis Hanson,7.0
1111,A Knight's Tale ,2001,PG-13,"$89,964,991.53","$77,624,515.79",Brian Helgeland,6.9
1112,The Medallion ,2003,PG-13,"$54,619,130.43","$29,453,002.40",Gordon Chan,5.2
1113,The Sixth Sense ,1999,PG-13,"$58,852,340.94","$431,831,516.06",M. Night Shyamalan,8.1
1114,Man on a Ledge ,2012,PG-13,"$44,840,196.17","$19,858,773.77",Asger Leth,6.6
1115,The Big Year ,2011,PG,"$44,678,423.93","$7,850,476.38",David Frankel,6.2
1116,The Karate Kid ,1984,PG,"$18,873,532.24","$214,214,590.95",John G. Avildsen,7.2
1117,American Hustle ,2013,R,"$42,088,454.09","$157,955,660.71",David O. Russell,7.3
1118,The Proposal ,2009,PG-13,"$45,702,139.96","$187,318,279.04",Anne Fletcher,6.7
1119,Double Jeopardy ,1999,R,"$102,991,596.64","$171,753,540.35",Bruce Beresford,6.4
1120,Back to the Future Part II ,1989,PG,"$79,070,967.74","$234,247,741.94",Robert Zemeckis,7.8
1121,Lucy ,2014,R,"$41,416,599.08","$131,028,477.90",Luc Besson,6.4
1122,Fifty Shades of Grey ,2015,R,"$41,367,496.85","$171,828,052.72",Sam Taylor-Johnson,4.1
1123,Spy Kids 3-D: Game Over ,2003,PG,"$50,622,608.70","$148,884,597.12",Robert Rodriguez,4.1
1124,A Time to Kill ,1996,R,"$62,490,758.44","$169,828,267.46",Joel Schumacher,7.4
1125,Cheaper by the Dozen ,2003,PG,"$53,286,956.52","$184,658,679.49",Shawn Levy,5.8
1126,Lone Survivor ,2013,R,"$42,088,454.09","$131,599,753.96",Peter Berg,7.6
1127,A League of Their Own ,1992,PG,"$69,884,533.14","$187,742,675.55",Penny Marshall,7.2
1128,The Conjuring 2 ,2016,R,"$40,852,141.81","$104,489,744.45",James Wan,7.8
1129,The Social Network ,2010,PG-13,"$44,964,596.25","$108,946,852.70",David Fincher,7.7
1130,He's Just Not That Into You ,2009,PG-13,"$45,702,139.96","$107,345,501.68",Ken Kwapis,6.4
1131,Scary Movie 4 ,2006,PG-13,"$54,714,285.71","$110,284,235.98",David Zucker,5.1
1132,Scream 3 ,2000,R,"$56,938,443.67","$126,884,582.98",Wes Craven,5.5
1133,Back to the Future Part III ,1990,PG,"$75,017,597.55","$164,413,497.33",Robert Zemeckis,7.4
1134,Get Hard ,2015,R,"$41,367,496.85","$93,442,726.18",Etan Cohen,6.0
1135,Bram Stoker's Dracula ,1992,R,"$69,884,533.14","$144,176,666.32",Francis Ford Coppola,7.5
1136,Julie & Julia ,2009,PG-13,"$45,702,139.96","$107,543,334.81",Nora Ephron,7.0
1137,42 ,2013,PG-13,"$42,088,454.09","$99,961,491.59",Brian Helgeland,7.5
1138,The Talented Mr. Ripley ,1999,R,"$58,852,340.94","$119,605,811.11",Anthony Minghella,7.3
1139,Dumb and Dumber To ,2014,PG-13,"$36,239,524.20","$89,261,064.69",Bobby Farrelly,5.7
1140,Eight Below ,2006,PG,"$48,634,920.63","$99,207,367.75",Frank Marshall,7.3
1141,The Intern ,2015,PG-13,"$36,196,559.74","$77,848,197.51",Nancy Meyers,7.2
1142,Ride Along 2 ,2016,PG-13,"$40,852,141.81","$92,770,138.18",Tim Story,5.9
1143,The Last of the Mohicans ,1992,R,"$69,884,533.14","$126,587,576.68",Michael Mann,7.8
1144,Ray ,2004,PG-13,"$51,904,711.49","$97,718,398.59",Taylor Hackford,7.7
1145,Sin City ,2005,R,"$50,203,789.04","$93,001,090.90",Frank Miller,8.1
1146,Vantage Point ,2008,PG-13,"$45,539,541.95","$82,274,361.84",Pete Travis,6.6
1147,"I Love You, Man ",2009,R,"$45,702,139.96","$81,517,775.91",John Hamburg,7.1
1148,Shallow Hal ,2001,PG-13,"$55,363,071.71","$98,042,873.38",Bobby Farrelly,5.9
1149,JFK ,1991,R,"$71,988,252.57","$126,709,219.31",Oliver Stone,8.0
1150,Big Momma's House 2 ,2006,PG-13,"$48,634,920.63","$85,310,091.16",John Whitesell,4.6
1151,The Mexican ,2001,R,"$47,058,610.95","$92,468,253.58",Gore Verbinski,6.1
1152,Unbroken ,2014,PG-13,"$67,301,973.51","$119,698,092.30",Angelina Jolie Pitt,7.2
1153,17 Again ,2009,PG-13,"$22,851,069.98","$73,294,620.72",Burr Steers,6.4
1154,The Other Woman ,2014,PG-13,"$41,416,599.08","$86,877,647.10",Nick Cassavetes,6.0
1155,The Final Destination ,2009,R,"$45,702,139.96","$75,941,385.89",David R. Ellis,5.2
1156,Bridge of Spies ,2015,PG-13,"$41,367,496.85","$74,778,022.90",Steven Spielberg,7.6
1157,Behind Enemy Lines ,2001,PG-13,"$55,363,071.71","$81,755,735.88",John Moore,6.4
1158,Shall We Dance ,2004,PG-13,"$64,880,889.36","$75,116,345.35",Peter Chelsom,6.1
1159,Small Soldiers ,1998,PG-13,"$60,152,147.24","$81,138,650.94",Joe Dante,6.1
1160,Spawn ,1997,R,"$61,089,096.57","$83,947,657.56",Mark A.Z. Dippé,5.2
1161,The Count of Monte Cristo ,2002,PG-13,"$47,688,715.95","$73,887,675.67",Kevin Reynolds,7.7
1162,The Lincoln Lawyer ,2011,R,"$43,588,706.27","$63,183,888.22",Brad Furman,7.3
1163,Unknown ,2011,PG-13,"$32,691,529.70","$66,576,194.54",Jaume Collet-Serra,6.9
1164,The Prestige ,2006,PG-13,"$48,634,920.63","$64,541,874.82",Christopher Nolan,8.5
1165,Horrible Bosses 2 ,2014,R,"$43,487,429.03","$56,341,811.92",Sean Anders,6.3
1166,Escape from Planet Earth ,2013,PG,"$42,088,454.09","$59,988,512.63",Cal Brunker,5.9
1167,Apocalypto ,2006,R,"$48,634,920.63","$61,839,166.63",Mel Gibson,7.8
1168,The Living Daylights ,1987,PG,"$64,732,394.37","$110,446,189.02",John Glen,6.7
1169,Predators ,2010,R,"$44,964,596.25","$58,454,748.52",Nimród Antal,6.4
1170,Legal Eagles ,1986,PG,"$89,459,854.01","$111,492,901.33",Ivan Reitman,5.9
1171,Secret Window ,2004,PG-13,"$51,904,711.49","$62,001,978.97",David Koepp,6.6
1172,The Lake House ,2006,PG,"$48,634,920.63","$63,615,666.53",Alejandro Agresti,6.8
1173,The Skeleton Key ,2005,PG-13,"$53,969,073.22","$60,001,428.73",Iain Softley,6.5
1174,The Odd Life of Timothy Green ,2012,PG,"$26,690,592.96","$55,359,973.10",Peter Hedges,6.6
1175,Made of Honor ,2008,PG-13,"$45,539,541.95","$52,384,970.75",Paul Weiland,5.8
1176,Jersey Boys ,2014,R,"$41,416,599.08","$48,699,989.66",Clint Eastwood,6.9
1177,The Rainmaker ,1997,PG-13,"$61,089,096.57","$70,033,658.24",Francis Ford Coppola,7.1
1178,Gothika ,2003,R,"$53,286,956.52","$79,381,669.72",Mathieu Kassovitz,5.8
1179,Amistad ,1997,R,"$54,980,186.92","$67,465,872.76",Steven Spielberg,7.2
1180,Medicine Man ,1992,PG-13,"$69,884,533.14","$79,495,048.90",John McTiernan,6.0
