,Ceremony,Film,Award_Count,moviesearch
132,4,Charles Lang,0,charleslang
133,4,Barney Chick McGill,0,barneychickmcgill
134,4,Floyd Crosby,1,floydcrosby
135,4,Wesley Ruggles,0,wesleyruggles
136,4,Clarence Brown,0,clarencebrown
137,4,Lewis Milestone,0,lewismilestone
138,4,Josef Von Sternberg,0,josefvonsternberg
139,4,Norman Taurog,1,normantaurog
140,4,RKO Radio,1,rkoradio
141,4,Fox,1,fox
142,4,The Caddo Company,0,thecaddocompany
143,4,Paramount Publix,0,paramountpublix
144,4,Metro-Goldwyn-Mayer,11,metro-goldwyn-mayer
145,4,,0,
146,4,,0,
147,4,,0,
148,4,,0,
149,4,Howard Estabrook,1,howardestabrook
150,4,"Seton I. Miller, Fred Niblo, Jr.",0,"setoni.miller,fredniblo,jr."
151,4,Horace Jackson,0,horacejackson
152,4,"Francis Faragoh, Robert N. Lee",0,"francisfaragoh,robertn.lee"
153,4,"Joseph L. Mankiewicz, Sam Mintz",0,"josephl.mankiewicz,sammintz"
154,4,John Monk Saunders,1,johnmonksaunders
155,4,Rowland Brown,0,rowlandbrown
156,4,"Harry d'Abbadie d'Arrast, Douglas Doty, Donald Ogden Stewart",0,"harryd'abbadied'arrast,douglasdoty,donaldogdenstewart"
157,4,"John Bright, Kubec Glasmon",0,"johnbright,kubecglasmon"
158,4,"Lucien Hubbard, Joseph Jackson",0,"lucienhubbard,josephjackson"
159,5,The Champ,1,thechamp
160,5,The Guardsman,0,theguardsman
161,5,Dr. Jekyll and Mr. Hyde,1,dr.jekyllandmr.hyde
162,5,Emma,0,emma
163,5,The Guardsman,0,theguardsman
164,5,The Sin of Madelon Claudet,1,thesinofmadelonclaudet
165,5,Lazare Meerson,0,lazaremeerson
166,5,Richard Day,3,richardday
167,5,Gordon Wiles,1,gordonwiles
168,5,Ray June,0,rayjune
169,5,Karl Struss,0,karlstruss
170,5,Lee Garmes,1,leegarmes
171,5,Frank Borzage,1,frankborzage
172,5,King Vidor,0,kingvidor
173,5,Josef Von Sternberg,0,josefvonsternberg
174,5,Samuel Goldwyn Productions,1,samuelgoldwynproductions
175,5,Fox,1,fox
176,5,Metro-Goldwyn-Mayer,11,metro-goldwyn-mayer
177,5,First National,0,firstnational
178,5,Metro-Goldwyn-Mayer,11,metro-goldwyn-mayer
179,5,Paramount Publix,0,paramountpublix
180,5,Paramount Publix,0,paramountpublix
181,5,Paramount Publix,0,paramountpublix
182,5,"Walt Disney, Producer",22,"waltdisney,producer"
183,5,"Leon Schlesinger, Producer",0,"leonschlesinger,producer"
184,5,"Walt Disney, Producer",22,"waltdisney,producer"
185,5,"Mack Sennett, Producer",1,"macksennett,producer"
186,5,"Hal Roach, Producer",2,"halroach,producer"
187,5,RKO Radio,1,rkoradio
188,5,RKO Radio,1,rkoradio
189,5,Paramount Publix,0,paramountpublix
190,5,Metro-Goldwyn-Mayer,11,metro-goldwyn-mayer
191,5,"Mack Sennett, Producer",1,"macksennett,producer"
192,5,,0,
193,5,,0,
194,5,,0,
195,5,,0,
196,5,Sidney Howard,1,sidneyhoward
197,5,Edwin Burke,1,edwinburke
198,5,"Percy Heath, Samuel Hoffenstein",0,"percyheath,samuelhoffenstein"
199,5,Frances Marion,2,francesmarion
200,5,"Grover Jones, William Slavens McNutt",0,"groverjones,williamslavensmcnutt"
201,5,Lucien Hubbard,0,lucienhubbard
202,5,"Adela Rogers St. Johns, Jane Murfin",0,"adelarogersst.johns,janemurfin"
203,5,“Mickey Mouse”,1,“mickeymouse”
204,6,Berkeley Square,0,berkeleysquare
205,6,The Private Life of Henry VIII,1,theprivatelifeofhenryviii
206,6,I Am a Fugitive from a Chain Gang,0,iamafugitivefromachaingang
207,6,Morning Glory,1,morningglory
208,6,Lady for a Day,0,ladyforaday
209,6,Cavalcade,0,cavalcade
210,6,William S. Darling,1,williams.darling
211,6,"Hans Dreier, Roland Anderson [Second]",0,"hansdreier,rolandanderson[second]"
212,6,Cedric Gibbons [Third],0,cedricgibbons[third]
213,6,,0,
214,6,,0,
215,6,,0,
216,6,,0,
217,6,,0,
218,6,,0,
219,6,,0,
220,6,,0,
221,6,,0,
222,6,,0,
223,6,,0,
224,6,,0,
225,6,,0,
226,6,,0,
227,6,,0,
228,6,,0,
229,6,,0,
230,6,,0,
231,6,"Charles Bryant Lang, Jr.",1,"charlesbryantlang,jr."
232,6,George J. Folsey [Second],0,georgej.folsey[second]
233,6,Karl Struss [Third],0,karlstruss[third]
234,6,Frank Lloyd,1,franklloyd
235,6,Frank Capra [Second],0,frankcapra[second]
236,6,George Cukor [Third],0,georgecukor[third]
237,6,Fox,1,fox
238,6,Paramount [Second],0,paramount[second]
239,6,Warner Brothers,7,warnerbrothers
240,6,Warner Brothers,7,warnerbrothers
241,6,Columbia,2,columbia
242,6,RKO Radio [Third],0,rkoradio[third]
243,6,London Films,0,londonfilms
244,6,Paramount,5,paramount
245,6,Metro-Goldwyn-Mayer,11,metro-goldwyn-mayer
246,6,Fox,1,fox
247,6,"Walt Disney, Producer [Second]",0,"waltdisney,producer[second]"
248,6,"Walter Lantz, Producer [Third]",0,"walterlantz,producer[third]"
249,6,"Walt Disney, Producer",22,"waltdisney,producer"
250,6,"Warren Doane, Producer [Third]",0,"warrendoane,producer[third]"
251,6,"Louis Brock, Producer [Second]",0,"louisbrock,producer[second]"
252,6,"Louis Brock, Producer",1,"louisbrock,producer"
253,6,"Joe Rock, Producer",1,"joerock,producer"
254,6,"Pete Smith, Producer [tied for 2nd]",0,"petesmith,producer[tiedfor2nd]"
255,6,Educational [tied for 2nd],0,educational[tiedfor2nd]
256,6,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director",1,"paramountstudiosounddepartment,franklinb.hansen,sounddirector"
257,6,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director",1,"warnerbrothersstudiosounddepartment,nathanlevinson,sounddirector"
258,6,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director [Third]",0,"warnerbrothersstudiosounddepartment,nathanlevinson,sounddirector[third]"
259,6,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director [Second]",0,"warnerbrothersstudiosounddepartment,nathanlevinson,sounddirector[second]"
260,6,Robert Riskin [Second],0,robertriskin[second]
261,6,"Victor Heerman, Sarah Y. Mason",1,"victorheerman,sarahy.mason"
262,6,"Paul Green, Sonya Levien [Third]",0,"paulgreen,sonyalevien[third]"
263,6,Robert Lord,1,robertlord
264,6,Frances Marion [Second],0,francesmarion[second]
265,6,Charles MacArthur [Third],0,charlesmacarthur[third]
266,7,It Happened One Night,2,ithappenedonenight
267,7,The Affairs of Cellini,0,theaffairsofcellini
268,7,The Thin Man,0,thethinman
269,7,It Happened One Night,2,ithappenedonenight
270,7,Of Human Bondage,0,ofhumanbondage
271,7,One Night of Love,0,onenightoflove
272,7,The Barretts of Wimpole Street,0,thebarrettsofwimpolestreet
273,7,Richard Day [Third],0,richardday[third]
274,7,"Van Nest Polglase, Carroll Clark [Second]",0,"vannestpolglase,carrollclark[second]"
275,7,"Cedric Gibbons, Fredric Hope",1,"cedricgibbons,fredrichope"
276,7,Cullen Tate [Second],0,cullentate[second]
277,7,Scott Beal [Third],0,scottbeal[third]
278,7,John Waters,1,johnwaters
279,7,Charles Rosher [Third],0,charlesrosher[third]
280,7,Victor Milner,1,victormilner
281,7,George Folsey [Second],0,georgefolsey[second]
282,7,Frank Capra,3,frankcapra
283,7,Victor Schertzinger [Third],0,victorschertzinger[third]
284,7,W. S. Van Dyke [Second],0,w.s.vandyke[second]
285,7,Anne Bauchens [Third],0,annebauchens[third]
286,7,Conrad Nervig,1,conradnervig
287,7,Gene Milford [Second],0,genemilford[second]
288,7,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Kenneth Webb and Samuel Hoffenstein) [Second]",0,"rkoradiostudiomusicdepartment,maxsteiner,headofdepartment(scorebykennethwebbandsamuelhoffenstein)[second]"
289,7,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner) [Third]",0,"rkoradiostudiomusicdepartment,maxsteiner,headofdepartment(scorebymaxsteiner)[third]"
290,7,"Columbia Studio Music Department, Louis Silvers, head of department  (Thematic Music by Victor Schertzinger and Gus Kahn)",1,"columbiastudiomusicdepartment,louissilvers,headofdepartment(thematicmusicbyvictorschertzingerandguskahn)"
291,7,Music by Vincent Youmans; Lyrics by Edward Eliscu and Gus Kahn [Third],0,musicbyvincentyoumans;lyricsbyedwardeliscuandguskahn[third]
292,7,Music by Con Conrad; Lyrics by Herb Magidson,1,musicbyconconrad;lyricsbyherbmagidson
293,7,Music by Ralph Rainger; Lyrics by Leo Robin [Second],0,musicbyralphrainger;lyricsbyleorobin[second]
294,7,Metro-Goldwyn-Mayer [Second],0,metro-goldwyn-mayer[second]
295,7,Paramount,5,paramount
296,7,First National,0,firstnational
297,7,RKO Radio,1,rkoradio
298,7,Warner Brothers,7,warnerbrothers
299,7,20th Century [Third],0,20thcentury[third]
300,7,Universal,1,universal
301,7,Columbia,2,columbia
302,7,Columbia,2,columbia
303,7,Metro-Goldwyn-Mayer,11,metro-goldwyn-mayer
304,7,Metro-Goldwyn-Mayer,11,metro-goldwyn-mayer
305,7,Jesse L. Lasky (production company),0,jessel.lasky(productioncompany)
306,7,"Charles Mintz, Producer [Third]",0,"charlesmintz,producer[third]"
307,7,"Walter Lantz, Producer [Second]",0,"walterlantz,producer[second]"
308,7,"Walt Disney, Producer",22,"waltdisney,producer"
309,7,"Kenneth Macgowan, Producer",1,"kennethmacgowan,producer"
310,7,"Jules White, Producer [Third]",0,"juleswhite,producer[third]"
311,7,Warner Brothers [Second],0,warnerbrothers[second]
312,7,Skibo Productions [Third],0,skiboproductions[third]
313,7,"Stacy Woodard and Horace Woodard, Producers",1,"stacywoodardandhoracewoodard,producers"
314,7,"Pete Smith, Producer [Second]",0,"petesmith,producer[second]"
315,7,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director",2,"unitedartistsstudiosounddepartment,thomast.moulton,sounddirector"
316,7,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director",1,"paramountstudiosounddepartment,franklinb.hansen,sounddirector"
317,7,"Warner Brothers-First National Studio Sound Department, Nathan Levinson, Sound Director [Second]",0,"warnerbrothers-firstnationalstudiosounddepartment,nathanlevinson,sounddirector[second]"
318,7,"RKO Radio Studio Sound Department, Carl Dreher, Sound Director [Third]",0,"rkoradiostudiosounddepartment,carldreher,sounddirector[third]"
319,7,"Universal Studio Sound Department, Theodore Soderberg, Sound Director",0,"universalstudiosounddepartment,theodoresoderberg,sounddirector"
320,7,"Columbia Studio Sound Department, John Livadary, Sound Director",2,"columbiastudiosounddepartment,johnlivadary,sounddirector"
321,7,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",5,"metro-goldwyn-mayerstudiosounddepartment,douglasshearer,sounddirector"
322,7,"Fox Studio Sound Department, E. H. Hansen, Sound Director",0,"foxstudiosounddepartment,e.h.hansen,sounddirector"
323,7,Robert Riskin,1,robertriskin
324,7,"Frances Goodrich, Albert Hackett [Second]",0,"francesgoodrich,alberthackett[second]"
325,7,Ben Hecht [Third],0,benhecht[third]
326,7,Mauri Grashin [Third],0,maurigrashin[third]
327,7,Arthur Caesar,1,arthurcaesar
328,7,Norman Krasna [Second],0,normankrasna[second]
329,7,,0,
330,8,Mutiny on the Bounty,0,mutinyonthebounty
331,8,Mutiny on the Bounty,0,mutinyonthebounty
332,8,The Informer,1,theinformer
333,8,Black Fury,0,blackfury
334,8,Mutiny on the Bounty,0,mutinyonthebounty
335,8,Escape Me Never,0,escapemenever
336,8,Private Worlds,0,privateworlds
337,8,Dangerous,1,dangerous
338,8,Alice Adams,0,aliceadams
339,8,Becky Sharp,0,beckysharp
340,8,The Dark Angel,0,thedarkangel
341,8,Richard Day,3,richardday
342,8,"Hans Dreier, Roland Anderson [Third]",0,"hansdreier,rolandanderson[third]"
343,8,"Van Nest Polglase, Carroll Clark [Second]",0,"vannestpolglase,carrollclark[second]"
344,8,Joseph Newman [Third],0,josephnewman[third]
345,8,Eric Stacey,0,ericstacey
